name,loc,par,if,switch,for,while,token,risk level
(anonymous),12,0,1,0,2,0,116,without much risk
Delayed,8,0,2,0,2,0,49,without much risk
loadMode,4,1,0,0,0,0,31,without much risk
(anonymous),4,1,2,0,0,0,29,without much risk
resetModeState,7,1,3,0,0,0,52,without much risk
(anonymous),1,0,0,0,0,0,9,without much risk
wrappingChanged,13,1,1,0,0,0,80,without much risk
(anonymous),11,1,4,0,0,0,104,without much risk
estimateHeight,5,1,4,0,0,0,56,without much risk
(anonymous),4,1,1,0,0,0,28,without much risk
estimateLineHeights,4,1,1,0,0,0,27,without much risk
keyMapChanged,5,1,0,0,0,0,57,without much risk
themeChanged,5,1,0,0,0,0,48,without much risk
(anonymous),1,0,0,0,0,0,9,without much risk
guttersChanged,5,1,0,0,0,0,23,without much risk
updateGutters,14,1,1,0,1,0,123,without much risk
updateGutterSpace,5,1,0,0,0,0,52,without much risk
lineLength,17,1,1,0,0,2,142,without much risk
(anonymous),7,1,1,0,0,0,35,without much risk
findMaxLine,7,1,1,0,0,0,56,without much risk
setGuttersForLineNumbers,9,1,1,0,0,0,84,without much risk
hScrollbarTakesSpace,3,1,0,0,0,0,26,without much risk
Math.round,2,1,0,0,0,0,15,without much risk
hScrollbarTakesSpace,4,1,0,0,0,0,22,without much risk
barMouseDown,4,1,1,0,0,0,35,without much risk
lineAtHeight,1,3,0,0,0,0,20,without much risk
maybeUpdateLineNumberWidth,17,1,2,0,0,0,183,without much risk
lineNumberFor,3,2,0,0,0,0,22,without much risk
compensateForHScroll,3,1,0,0,0,0,26,without much risk
DisplayUpdate,11,3,0,0,0,0,99,without much risk
Math.min,13,1,2,0,0,0,121,without much risk
updateDisplaySimple,11,2,1,0,0,0,68,without much risk
setDocumentHeight,4,2,0,0,0,0,60,without much risk
checkForWebkitWidthBug,6,2,1,0,0,0,75,without much risk
updateHeightsInViewport,24,1,5,0,1,0,209,without much risk
updateWidgetHeight,4,1,1,0,0,0,49,without much risk
compensateForHScroll,6,1,0,0,0,0,30,without much risk
rm,8,1,1,0,0,0,47,without much risk
updateLineForChanges,10,4,1,0,1,0,104,without much risk
ensureLineWrapped,10,1,3,0,0,0,91,without much risk
updateLineBackground,11,1,3,0,0,0,121,without much risk
getLineContent,9,2,1,0,0,0,59,without much risk
updateLineText,14,2,2,0,0,0,125,without much risk
updateLineClasses,9,1,1,0,0,0,89,without much risk
updateLineWidgets,9,2,2,0,1,0,71,without much risk
buildLineElement,10,4,2,0,0,0,89,without much risk
insertLineWidgets,5,2,1,0,0,0,60,without much risk
insertLineWidgetsFor,14,4,3,0,1,0,137,without much risk
positionLineWidget,17,4,4,0,0,0,139,without much risk
CodeMirror.Pos,4,2,1,0,0,0,37,without much risk
CodeMirror.cmpPos,1,2,0,0,0,0,24,without much risk
copyPos,1,1,0,0,0,0,17,without much risk
maxPos,1,2,0,0,0,0,21,without much risk
minPos,1,2,0,0,0,0,21,without much risk
Selection,4,2,0,0,0,0,19,without much risk
primary,1,0,0,0,0,0,14,without much risk
equals,9,1,3,0,1,0,112,without much risk
deepCopy,5,0,0,0,1,0,71,without much risk
somethingSelected,5,0,1,0,1,0,42,without much risk
contains,9,2,2,0,1,0,81,without much risk
Range,3,2,0,0,0,0,19,without much risk
from,1,0,0,0,0,0,16,without much risk
to,1,0,0,0,0,0,16,without much risk
empty,3,0,0,0,0,0,29,without much risk
(anonymous),1,2,0,0,0,0,23,without much risk
normalizeSelection,15,2,2,0,1,0,196,without much risk
simpleSelection,3,2,0,0,0,0,26,without much risk
clipLine,1,2,0,0,0,0,34,without much risk
clipPos,6,2,2,0,0,0,84,without much risk
clipToLen,6,2,1,0,0,0,55,without much risk
isLine,1,2,0,0,0,0,24,without much risk
clipPosArray,4,2,0,0,1,0,46,without much risk
extendRange,17,4,3,0,0,0,126,without much risk
extendSelection,3,4,0,0,0,0,43,without much risk
extendSelections,6,3,0,0,1,0,83,without much risk
replaceOneSelection,5,4,0,0,0,0,50,without much risk
setSimpleSelection,3,4,0,0,0,0,25,without much risk
update,6,1,0,0,1,0,63,without much risk
filterSelectionChange,10,2,2,0,1,0,85,without much risk
setSelectionReplaceHistory,9,3,1,0,0,0,67,without much risk
setSelection,4,3,0,0,0,0,43,without much risk
setSelectionNoUndo,9,3,2,0,0,0,119,without much risk
setSelectionInner,9,2,2,0,0,0,68,without much risk
reCheckSelection,3,1,0,0,0,0,25,without much risk
skipAtomicInSelection,13,4,2,0,1,0,139,without much risk
drawSelection,22,1,3,0,1,0,251,without much risk
showSelection,8,2,1,0,0,0,75,without much risk
updateSelection,3,1,0,0,0,0,15,without much risk
drawSelectionCursor,14,3,1,0,0,0,190,without much risk
add,8,4,1,0,0,0,85,without much risk
coords,3,2,0,0,0,0,26,without much risk
drawForLine,8,3,9,0,0,0,70,without much risk
drawSelectionRange,27,3,14,0,0,0,310,without much risk
(anonymous),3,0,0,0,0,0,23,without much risk
restartBlink,11,1,2,0,0,0,92,without much risk
startWorker,4,2,1,0,0,0,47,without much risk
(anonymous),4,0,1,0,1,0,32,without much risk
highlightWorker,10,1,7,0,2,0,129,without much risk
findStartLine,15,3,3,0,1,0,148,without much risk
(anonymous),6,1,0,0,0,0,63,without much risk
getStateBefore,10,3,3,0,0,0,116,without much risk
paddingTop,1,1,0,0,0,0,12,without much risk
paddingVert,1,1,0,0,0,0,18,without much risk
parseInt,4,1,1,0,0,0,35,without much risk
ensureLineHeights,17,3,3,0,1,0,179,without much risk
mapFromLineView,10,3,3,0,2,0,151,without much risk
updateExternalMeasurement,10,2,0,0,0,0,87,without much risk
measureChar,3,4,0,0,0,0,28,without much risk
findViewForLine,7,2,2,0,0,0,72,without much risk
prepareMeasureForLine,16,2,2,0,0,0,124,without much risk
measureCharPrepared,19,5,5,0,0,0,179,without much risk
right,6,1,2,0,0,0,74,without much risk
maybeUpdateRectForZooming,9,2,1,0,0,0,94,without much risk
clearLineMeasurementCacheFor,8,1,2,0,0,0,66,without much risk
clearLineMeasurementCache,6,1,0,0,1,0,54,without much risk
clearCaches,6,1,1,0,0,0,55,without much risk
pageScrollX,1,0,0,0,0,0,21,without much risk
pageScrollY,1,0,0,0,0,0,21,without much risk
fromCoordSystem,14,3,2,0,0,0,120,without much risk
charCoords,4,5,1,0,0,0,54,without much risk
get,5,2,1,0,0,0,60,without much risk
cursorCoords,12,6,6,0,0,0,115,without much risk
estimateCoords,7,2,1,0,0,0,97,without much risk
PosWithInfo,6,4,1,0,0,0,40,without much risk
coordsChar,19,3,4,0,1,0,216,without much risk
getX,8,1,1,0,0,0,71,without much risk
textHeight,16,1,3,0,1,0,125,without much risk
charWidth,9,1,2,0,0,0,89,without much risk
startOperation,26,1,1,0,1,0,119,without much risk
fireCallbacksForOps,13,1,1,0,2,1,110,without much risk
endOperations,3,1,0,0,0,0,6,without much risk
endOperations,13,1,0,0,5,0,132,without much risk
endOperation_W1,3,1,0,0,0,0,24,without much risk
endOperation_R2,12,1,3,0,0,0,126,without much risk
endOperation_W2,18,1,7,0,0,0,169,without much risk
endOperation,2,1,0,0,0,0,6,without much risk
endOperation,2,1,0,0,0,0,6,without much risk
(anonymous),6,0,1,0,0,0,43,without much risk
endOperation,2,1,0,0,0,0,6,without much risk
(anonymous),6,0,1,0,0,0,43,without much risk
endOperation,2,1,0,0,0,0,6,without much risk
(anonymous),7,0,1,0,0,0,53,without much risk
LineView,7,3,0,0,0,0,69,without much risk
buildViewArray,9,3,0,0,1,0,74,without much risk
regLineChange,11,3,4,0,0,0,134,without much risk
resetView,5,1,0,0,0,0,40,without much risk
findViewIndex,10,2,3,0,1,0,82,without much risk
adjustView,18,3,3,0,0,0,194,without much risk
countDirtyView,8,1,1,0,1,0,68,without much risk
(anonymous),4,0,1,0,0,0,22,without much risk
slowPoll,4,1,2,0,0,0,33,without much risk
p,5,0,1,0,0,0,55,without much risk
fastPoll,6,1,1,0,0,0,34,without much risk
(anonymous),1,1,0,0,0,0,10,without much risk
focusInput,4,1,1,0,0,0,40,without much risk
ensureFocus,3,1,1,0,0,0,26,without much risk
isReadOnly,3,1,0,0,0,0,18,without much risk
(anonymous),8,1,2,0,0,0,79,without much risk
(anonymous),1,1,0,0,0,0,17,without much risk
(anonymous),3,1,1,0,0,0,20,without much risk
(anonymous),1,1,1,0,0,0,12,without much risk
(anonymous),7,0,1,0,0,0,47,without much risk
(anonymous),3,0,1,0,0,0,23,without much risk
(anonymous),3,0,1,0,0,0,23,without much risk
(anonymous),1,1,0,0,0,0,12,without much risk
(anonymous),1,1,0,0,0,0,12,without much risk
reFocus,1,0,0,0,0,0,24,without much risk
(anonymous),1,0,0,0,0,0,18,without much risk
(anonymous),1,1,0,0,0,0,14,without much risk
(anonymous),4,0,1,0,0,0,31,without much risk
drag_,3,1,1,0,0,0,20,without much risk
(anonymous),1,1,0,0,0,0,12,without much risk
(anonymous),6,1,1,0,0,0,34,without much risk
(anonymous),11,0,1,0,0,0,93,without much risk
Pos,15,2,2,0,0,0,107,without much risk
(anonymous),4,0,2,0,0,0,27,without much risk
Pos,5,2,4,0,0,0,49,without much risk
onResize,5,1,0,0,0,0,32,without much risk
eventInWidget,5,2,1,0,1,0,57,without much risk
posFromMouse,17,4,3,0,0,0,226,without much risk
(anonymous),1,0,0,0,0,0,12,without much risk
(anonymous),1,0,0,0,0,0,17,without much risk
(anonymous),14,1,4,0,0,0,117,without much risk
leftButtonStartDrag,9,4,6,0,0,0,85,without much risk
extendTo,41,1,7,0,1,0,500,without much risk
(anonymous),1,0,0,0,0,0,15,without much risk
(anonymous),5,0,2,0,0,0,25,without much risk
extend,15,1,5,0,0,0,144,without much risk
done,8,1,0,0,0,0,45,without much risk
(anonymous),4,1,1,0,0,0,24,without much risk
gutterEvent,19,5,4,0,1,0,216,without much risk
clickInGutter,3,2,0,0,0,0,21,without much risk
splitLines,4,1,0,0,0,0,41,without much risk
(anonymous),6,0,1,0,0,0,49,without much risk
loadFile,7,2,1,0,1,0,57,without much risk
onDragStart,16,2,5,0,0,0,166,without much risk
setScrollTop,9,2,5,0,0,0,110,without much risk
setScrollLeft,8,3,3,0,0,0,120,without much risk
(anonymous),11,0,2,0,0,0,103,without much risk
doHandleBinding,17,3,5,0,0,0,128,without much risk
allKeyMaps,6,1,1,0,0,0,52,without much risk
(anonymous),6,0,2,0,0,0,47,without much risk
(anonymous),1,1,0,0,0,0,15,without much risk
(anonymous),4,1,1,0,0,0,31,without much risk
(anonymous),1,1,0,0,0,0,13,without much risk
handleKeyBinding,20,2,6,0,0,0,159,without much risk
(anonymous),1,1,0,0,0,0,15,without much risk
handleCharBinding,10,3,1,0,0,0,65,without much risk
up,7,1,1,0,0,0,45,without much risk
showCrossHair,7,1,1,0,0,0,42,without much risk
onKeyUp,4,1,1,0,0,0,30,without much risk
onFocus,14,1,4,0,0,0,110,without much risk
(anonymous),1,0,0,0,0,0,21,without much risk
onBlur,9,1,1,0,0,0,60,without much risk
prepareSelectAllHack,9,0,1,0,0,0,86,without much risk
poll,6,0,1,0,0,0,61,without much risk
rehide,11,0,4,0,0,0,101,without much risk
mouseup,4,0,0,0,0,0,20,without much risk
contextMenuInGutter,4,2,1,0,0,0,34,without much risk
CodeMirror.changeEnd,5,1,1,0,0,0,62,without much risk
adjustForChange,7,2,3,0,0,0,112,without much risk
computeSelAfterChange,9,2,0,0,1,0,86,without much risk
offsetPos,6,3,1,0,0,0,62,without much risk
computeReplacedSel,18,3,1,0,1,0,181,without much risk
cancel,1,0,0,0,0,0,10,without much risk
obj.update,6,4,5,0,0,0,63,without much risk
filterChange,15,3,7,0,0,0,126,without much risk
(anonymous),7,2,1,0,0,0,60,without much risk
makeChangeInner,8,2,2,0,0,0,104,without much risk
(anonymous),7,2,1,0,0,0,60,without much risk
changeEnd,5,1,2,0,0,0,22,without much risk
(anonymous),4,1,0,0,0,0,44,without much risk
shiftDoc,10,2,2,0,1,0,111,without much risk
Pos,3,3,0,0,0,0,34,without much risk
(anonymous),6,1,1,0,0,0,22,without much risk
(anonymous),9,1,1,0,0,0,45,without much risk
replaceRange,6,5,3,0,0,0,85,without much risk
maybeScrollWindow,14,2,2,0,0,0,164,without much risk
scrollPosIntoView,21,4,6,0,1,0,230,without much risk
scrollIntoView,5,5,2,0,0,0,63,without much risk
addToScrollPos,7,3,3,0,0,0,96,without much risk
ensureCursorVisible,9,1,1,0,0,0,102,without much risk
resolveScrollToPos,12,1,1,0,0,0,132,without much risk
changeLine,8,4,3,0,0,0,85,without much risk
(anonymous),5,0,0,0,1,0,52,without much risk
deleteNearSelection,15,2,1,0,2,1,127,without much risk
findNextLine,6,0,1,0,0,0,50,without much risk
moveOnce,10,1,3,0,0,0,94,without much risk
findPosV,16,4,3,0,1,0,182,without much risk
(anonymous),1,1,0,0,0,0,13,without much risk
(anonymous),1,1,0,0,0,0,16,without much risk
(anonymous),1,1,0,0,0,0,20,without much risk
focus,1,0,0,0,0,0,20,without much risk
setOption,7,2,2,0,0,0,69,without much risk
getOption,1,1,0,0,0,0,13,without much risk
getDoc,1,0,0,0,0,0,9,without much risk
addKeyMap,3,2,0,0,0,0,23,without much risk
removeKeyMap,8,1,1,0,1,0,72,without much risk
methodOp,7,2,1,0,0,0,81,without much risk
(anonymous),12,1,1,0,1,0,84,without much risk
(anonymous),7,3,3,0,0,0,72,without much risk
(anonymous),20,1,3,0,2,0,258,without much risk
stream.current,4,0,0,0,0,0,15,without much risk
(anonymous),15,1,2,0,0,0,192,without much risk
(anonymous),5,1,1,0,0,0,43,without much risk
(anonymous),3,2,0,0,0,0,20,without much risk
(anonymous),5,2,0,0,0,0,49,without much risk
(anonymous),7,2,1,0,0,0,82,without much risk
(anonymous),3,2,0,0,0,0,26,without much risk
(anonymous),4,2,0,0,0,0,34,without much risk
(anonymous),4,2,0,0,0,0,46,without much risk
(anonymous),8,2,1,0,0,0,116,without much risk
(anonymous),1,0,0,0,0,0,12,without much risk
(anonymous),1,0,0,0,0,0,12,without much risk
(anonymous),6,1,1,0,0,0,47,without much risk
(anonymous),3,3,1,0,0,0,24,without much risk
(anonymous),8,1,2,0,0,0,56,without much risk
(anonymous),4,1,2,0,0,0,30,without much risk
(anonymous),3,3,0,0,0,0,21,without much risk
(anonymous),1,1,0,0,0,0,11,without much risk
(anonymous),14,1,4,0,0,0,120,without much risk
(anonymous),1,0,0,0,0,0,23,without much risk
(anonymous),4,1,1,0,0,0,23,without much risk
(anonymous),9,4,2,0,1,0,89,without much risk
(anonymous),6,1,1,0,0,0,65,without much risk
(anonymous),4,2,1,0,0,0,22,without much risk
(anonymous),4,1,0,0,0,0,52,without much risk
(anonymous),7,2,1,0,0,0,50,without much risk
(anonymous),12,4,3,0,1,0,120,without much risk
(anonymous),11,1,3,0,0,0,120,without much risk
(anonymous),7,2,4,0,0,0,98,without much risk
(anonymous),8,1,2,0,0,0,74,without much risk
(anonymous),1,0,0,0,0,0,15,without much risk
(anonymous),5,2,3,0,0,0,50,without much risk
(anonymous),6,0,0,0,0,0,64,without much risk
Pos,17,2,2,0,0,0,184,without much risk
interpret,3,1,0,0,0,0,27,without much risk
(anonymous),5,1,2,0,0,0,56,without much risk
(anonymous),11,2,5,0,0,0,114,without much risk
(anonymous),1,1,0,0,0,0,13,without much risk
(anonymous),11,0,1,0,0,0,90,without much risk
(anonymous),10,1,0,0,0,0,62,without much risk
(anonymous),1,0,0,0,0,0,11,without much risk
(anonymous),1,0,0,0,0,0,11,without much risk
(anonymous),1,0,0,0,0,0,11,without much risk
(anonymous),1,0,0,0,0,0,11,without much risk
(anonymous),1,3,0,0,0,0,24,without much risk
option,5,4,1,0,0,0,36,without much risk
toString,1,0,0,0,0,0,7,without much risk
(anonymous),3,2,0,0,0,0,14,without much risk
(anonymous),4,2,0,0,0,0,20,without much risk
(anonymous),5,1,0,0,0,0,20,without much risk
(anonymous),4,2,0,0,0,0,42,without much risk
(anonymous),1,1,0,0,0,0,11,without much risk
(anonymous),4,1,0,0,0,0,15,without much risk
(anonymous),4,1,0,0,0,0,17,without much risk
(anonymous),4,2,0,0,0,0,36,without much risk
(anonymous),4,1,0,0,0,0,17,without much risk
(anonymous),1,1,0,0,0,0,8,without much risk
(anonymous),10,2,2,0,0,0,59,without much risk
(anonymous),1,2,0,0,0,0,17,without much risk
(anonymous),1,2,0,0,0,0,17,without much risk
(anonymous),1,1,0,0,0,0,11,without much risk
(anonymous),3,2,1,0,0,0,34,without much risk
(anonymous),3,2,0,0,0,0,19,without much risk
CodeMirror.defineMode,8,2,2,0,1,0,80,without much risk
CodeMirror.defineMIME,3,2,0,0,0,0,14,without much risk
CodeMirror.getMode,19,2,6,0,1,0,179,without much risk
token,1,1,0,0,0,0,11,without much risk
(anonymous),3,0,0,0,0,0,12,without much risk
CodeMirror.extendMode,4,2,0,0,0,0,39,without much risk
CodeMirror.defineExtension,3,2,0,0,0,0,16,without much risk
CodeMirror.defineDocExtension,3,2,0,0,0,0,16,without much risk
CodeMirror.defineInitHook,1,1,0,0,0,0,12,without much risk
CodeMirror.registerHelper,4,3,1,0,0,0,46,without much risk
CodeMirror.registerGlobalHelper,4,4,0,0,0,0,42,without much risk
CodeMirror.copyState,11,2,3,0,1,0,79,without much risk
CodeMirror.startState,3,3,0,0,0,0,25,without much risk
CodeMirror.innerMode,9,2,1,0,0,1,63,without much risk
selectAll,1,1,0,0,0,0,32,without much risk
singleSelection,3,1,0,0,0,0,26,without much risk
range.to,3,0,0,0,0,0,6,without much risk
range.from,2,0,0,0,0,0,12,without much risk
Pos,2,1,0,0,0,0,36,without much risk
(anonymous),3,1,0,0,0,0,13,without much risk
Pos,1,1,0,0,0,0,20,without much risk
(anonymous),3,1,0,0,0,0,13,without much risk
range.from,2,0,0,0,0,0,5,without much risk
(anonymous),5,1,0,0,0,0,57,without much risk
range.from,2,0,0,0,0,0,9,without much risk
(anonymous),5,1,0,0,0,0,61,without much risk
(anonymous),1,1,0,0,0,0,11,without much risk
(anonymous),1,1,0,0,0,0,11,without much risk
(anonymous),1,1,0,0,0,0,11,without much risk
(anonymous),1,1,0,0,0,0,11,without much risk
(anonymous),1,1,0,0,0,0,21,without much risk
(anonymous),1,1,0,0,0,0,19,without much risk
(anonymous),1,1,0,0,0,0,17,without much risk
(anonymous),4,1,0,0,0,0,23,without much risk
(anonymous),3,1,0,0,0,0,15,without much risk
(anonymous),3,1,0,0,0,0,23,without much risk
(anonymous),1,1,0,0,0,0,17,without much risk
(anonymous),4,1,0,0,0,0,24,without much risk
(anonymous),4,1,0,0,0,0,49,without much risk
(anonymous),3,1,0,0,0,0,15,without much risk
(anonymous),4,1,0,0,0,0,41,without much risk
(anonymous),3,1,0,0,0,0,15,without much risk
(anonymous),6,1,1,0,0,0,76,without much risk
(anonymous),3,1,1,0,0,0,15,without much risk
(anonymous),1,1,0,0,0,0,15,without much risk
(anonymous),1,1,0,0,0,0,14,without much risk
(anonymous),1,1,0,0,0,0,15,without much risk
(anonymous),1,1,0,0,0,0,14,without much risk
(anonymous),1,1,0,0,0,0,15,without much risk
(anonymous),1,1,0,0,0,0,14,without much risk
(anonymous),1,1,0,0,0,0,15,without much risk
(anonymous),1,1,0,0,0,0,14,without much risk
(anonymous),1,1,0,0,0,0,15,without much risk
(anonymous),1,1,0,0,0,0,14,without much risk
(anonymous),1,1,0,0,0,0,15,without much risk
(anonymous),1,1,0,0,0,0,14,without much risk
(anonymous),1,1,0,0,0,0,15,without much risk
(anonymous),1,1,0,0,0,0,14,without much risk
(anonymous),1,1,0,0,0,0,15,without much risk
(anonymous),1,1,0,0,0,0,14,without much risk
(anonymous),1,1,0,0,0,0,15,without much risk
(anonymous),1,1,0,0,0,0,14,without much risk
(anonymous),1,1,0,0,0,0,12,without much risk
(anonymous),1,1,0,0,0,0,12,without much risk
(anonymous),1,1,0,0,0,0,12,without much risk
(anonymous),1,1,0,0,0,0,12,without much risk
(anonymous),9,1,0,0,1,0,107,without much risk
(anonymous),4,1,1,0,0,0,28,without much risk
(anonymous),21,0,4,0,1,0,271,without much risk
(anonymous),3,1,4,0,1,0,13,without much risk
(anonymous),9,0,0,0,1,0,84,without much risk
(anonymous),3,1,0,0,1,0,13,without much risk
(anonymous),1,1,0,0,0,0,11,without much risk
getKeyMap,4,1,1,0,0,0,22,without much risk
lookup,16,1,6,0,1,0,128,without much risk
CodeMirror.lookupKey,7,3,7,0,2,0,50,without much risk
CodeMirror.isModifierKey,4,1,0,0,0,0,32,without much risk
save,1,0,0,0,0,0,14,without much risk
form.submit,6,0,0,0,3,0,26,without much risk
(anonymous),3,1,0,0,0,0,18,without much risk
cm.getTextArea,1,0,0,0,0,0,7,without much risk
cm.toTextArea,10,0,2,0,0,0,67,without much risk
CodeMirror.StringStream,7,2,0,0,0,0,47,without much risk
eol,1,0,0,0,0,0,15,without much risk
sol,1,0,0,0,0,0,13,without much risk
peek,1,0,0,0,0,0,18,without much risk
next,4,0,1,0,0,0,29,without much risk
eat,6,1,2,0,0,0,71,without much risk
eatWhile,5,1,0,0,0,1,30,without much risk
eatSpace,5,0,0,0,0,1,41,without much risk
skipToEnd,1,0,0,0,0,0,14,without much risk
skipTo,4,1,1,0,0,0,39,without much risk
backUp,1,1,0,0,0,0,11,without much risk
column,7,0,1,0,0,0,79,without much risk
indentation,4,0,0,0,0,0,41,without much risk
cased,1,1,0,0,0,0,16,without much risk
match,15,3,5,0,0,0,130,without much risk
current,1,0,0,0,0,0,20,without much risk
hideFirstChars,5,2,0,0,0,0,30,without much risk
CodeMirror.TextMarker,5,2,0,0,0,0,26,without much risk
(anonymous),16,0,3,0,0,0,121,without much risk
TextMarker.prototype.changed,5,0,4,0,0,0,47,without much risk
TextMarker.prototype.attachLine,8,1,2,0,0,0,81,without much risk
TextMarker.prototype.detachLine,7,1,1,0,0,0,71,without much risk
(anonymous),9,1,2,0,0,0,92,without much risk
(anonymous),3,1,2,0,0,0,21,without much risk
(anonymous),1,0,1,0,0,0,10,without much risk
CodeMirror.SharedTextMarker,6,2,0,0,1,0,44,without much risk
SharedTextMarker.prototype.clear,7,0,1,0,1,0,54,without much risk
SharedTextMarker.prototype.find,3,2,0,0,0,0,19,without much risk
(anonymous),7,1,2,0,1,0,86,without much risk
markTextShared,8,5,2,0,1,0,75,without much risk
(anonymous),1,1,0,0,0,0,10,without much risk
findSharedMarkers,4,1,0,0,0,0,37,without much risk
copySharedMarkers,11,2,1,0,1,0,112,without much risk
(anonymous),1,1,0,0,0,0,12,without much risk
detachSharedMarkers,13,1,1,0,2,0,118,without much risk
MarkedSpan,4,3,0,0,0,0,27,without much risk
getMarkedSpanFor,6,2,2,0,0,0,48,without much risk
removeMarkedSpan,5,2,1,0,1,0,56,without much risk
addMarkedSpan,4,2,0,0,0,0,39,without much risk
clearEmptySpans,9,1,2,0,1,0,78,without much risk
mergeOldSpans,20,2,4,0,2,0,168,without much risk
(anonymous),7,1,2,0,0,0,80,without much risk
detachMarkedSpans,7,1,1,0,1,0,53,without much risk
attachMarkedSpans,6,2,1,0,1,0,48,without much risk
extraLeft,1,1,0,0,0,0,15,without much risk
extraRight,1,1,0,0,0,0,14,without much risk
compareCollapsedMarkers,10,2,3,0,0,0,120,without much risk
collapsedSpanAtSide,10,2,2,0,0,0,96,without much risk
collapsedSpanAtStart,1,1,0,0,0,0,13,without much risk
collapsedSpanAtEnd,1,1,0,0,0,0,13,without much risk
visualLine,6,1,0,0,0,1,34,without much risk
visualLineContinued,8,1,0,0,0,1,53,without much risk
visualLineNo,5,2,1,0,0,0,39,without much risk
visualLineEndNo,8,2,2,0,0,1,75,without much risk
lineIsHidden,11,2,5,0,0,0,105,without much risk
CodeMirror.LineWidget,6,3,1,0,0,0,51,without much risk
adjustScrollWhenAboveVisible,4,3,1,0,0,0,45,without much risk
(anonymous),5,0,0,0,0,0,41,without much risk
LineWidget.prototype.clear,8,0,2,0,1,0,107,without much risk
(anonymous),5,0,0,0,0,0,32,without much risk
LineWidget.prototype.changed,7,0,1,0,0,0,54,without much risk
widgetHeight,10,1,3,0,0,0,98,without much risk
(anonymous),13,1,3,0,0,0,142,without much risk
addLineWidget,6,4,4,0,0,0,55,without much risk
CodeMirror.Line,5,3,0,0,0,0,35,without much risk
Line.prototype.lineNo,1,0,0,0,0,0,10,without much risk
updateLine,10,4,4,0,0,0,94,without much risk
cleanUpLine,4,1,0,0,0,0,16,without much risk
extractLineClasses,13,2,3,0,0,0,137,without much risk
callBlankLine,6,2,3,0,0,0,62,without much risk
readToken,7,3,1,0,1,0,63,without much risk
(anonymous),3,2,0,0,0,0,16,without much risk
(anonymous),20,2,3,0,1,1,154,without much risk
highlightLine,9,4,3,0,2,1,134,without much risk
getLineStyles,9,2,2,0,0,0,93,without much risk
processLine,10,4,1,0,0,1,98,without much risk
interpretTokenStyle,6,2,1,0,0,0,56,without much risk
defaultSpecialCharPlaceholder,5,1,0,0,0,0,38,without much risk
split,6,1,0,0,1,0,45,without much risk
(anonymous),3,6,0,0,0,0,43,without much risk
buildTokenSplitSpaces,4,1,0,0,1,0,12,without much risk
(anonymous),15,6,2,0,2,0,162,without much risk
buildTokenBadBidi,3,2,2,0,2,0,11,without much risk
buildCollapsedSpan,8,4,1,0,0,0,61,without much risk
isWholeLineUpdate,4,2,0,0,0,0,48,without much risk
spansFor,1,1,0,0,0,0,15,without much risk
update,4,3,0,0,0,0,31,without much risk
LeafChunk,9,1,0,0,1,0,63,without much risk
chunkSize,1,0,0,0,0,0,11,without much risk
removeInner,9,2,0,0,1,0,70,without much risk
collapse,3,1,0,0,0,0,18,without much risk
insertInner,5,3,0,0,1,0,72,without much risk
iterN,4,3,1,0,1,0,40,without much risk
BranchChunk,12,1,0,0,1,0,84,without much risk
chunkSize,1,0,0,0,0,0,9,without much risk
removeInner,21,2,4,0,1,0,215,without much risk
collapse,3,1,0,0,1,0,35,without much risk
insertInner,22,3,2,0,1,1,178,without much risk
maybeSpill,21,0,2,0,0,0,170,without much risk
iterN,11,3,3,0,1,0,106,without much risk
CodeMirror.Doc,18,3,3,0,0,0,183,without much risk
iter,4,3,1,0,0,0,50,without much risk
insert,5,2,0,0,1,0,52,without much risk
remove,1,2,0,0,0,0,20,without much risk
getValue,5,1,1,0,0,0,44,without much risk
Pos,2,3,0,0,0,0,29,without much risk
(anonymous),5,4,0,0,0,0,46,without much risk
(anonymous),5,3,1,0,0,0,50,without much risk
(anonymous),1,1,0,0,0,0,22,without much risk
(anonymous),1,1,0,0,0,0,22,without much risk
(anonymous),1,1,0,0,0,0,11,without much risk
(anonymous),4,1,1,0,0,0,27,without much risk
(anonymous),1,0,0,0,0,0,9,without much risk
(anonymous),1,0,0,0,0,0,9,without much risk
(anonymous),1,0,0,0,0,0,15,without much risk
(anonymous),1,1,0,0,0,0,13,without much risk
(anonymous),8,1,1,0,0,0,82,without much risk
(anonymous),1,0,0,0,0,0,11,without much risk
(anonymous),1,0,0,0,0,0,13,without much risk
(anonymous),3,3,0,0,0,0,39,without much risk
(anonymous),3,3,0,0,0,0,32,without much risk
(anonymous),3,3,0,0,0,0,32,without much risk
(anonymous),3,2,0,0,0,0,21,without much risk
(anonymous),3,2,0,0,0,0,25,without much risk
(anonymous),8,3,2,0,1,0,111,without much risk
(anonymous),5,3,0,0,0,0,66,without much risk
(anonymous),9,1,1,0,1,0,93,without much risk
(anonymous),9,1,1,0,1,0,90,without much risk
(anonymous),6,3,0,0,1,0,55,without much risk
splitLines,8,1,1,0,1,0,85,without much risk
(anonymous),1,0,0,0,0,0,11,without much risk
(anonymous),1,0,0,0,0,0,11,without much risk
(anonymous),1,0,0,0,0,0,13,without much risk
(anonymous),1,0,0,0,0,0,13,without much risk
(anonymous),1,1,0,0,0,0,11,without much risk
(anonymous),1,0,0,0,0,0,9,without much risk
